class_id,class_name,precision,recall,f1_score,mAP50,mAP50_95
0,Hardhat,0.9936,0.8727,0.9293,0.9425,0.6463
1,Mask,0.9619,0.75,0.8428,0.8637,0.558
2,NO-Hardhat,0.8657,0.6291,0.7287,0.7063,0.4019
3,NO-Mask,0.8393,0.6709,0.7457,0.8301,0.4144
4,NO-Safety Vest,0.9378,0.7667,0.8436,0.8762,0.5683
5,Person,0.9592,0.8102,0.8784,0.9006,0.559
6,Safety Cone,0.8614,0.4728,0.6105,0.6433,0.2847
7,Safety Vest,0.9239,0.7958,0.8551,0.8878,0.6203
8,Machinery,0.9196,0.8409,0.8785,0.8999,0.6903
9,Vehicle,0.9349,0.6341,0.7557,0.8357,0.5301
